"","loan_status","loan_amnt","grade","home_ownership","annual_inc","age","ir_cat","emp_cat"
"1",0,25000,"B","RENT",91000,34,"11-13.5","0-15"
"2",0,16000,"D","RENT",45000,25,"13.5+","0-15"
"3",0,8500,"A","MORTGAGE",110000,29,"0-8","0-15"
"4",0,9800,"B","MORTGAGE",102000,24,"8-11","0-15"
"5",0,3600,"A","MORTGAGE",40000,59,"0-8","0-15"
"6",0,6600,"A","OWN",26400,35,"0-8","15-30"
"7",0,3000,"A","RENT",10000,24,"0-8","0-15"
"8",0,7500,"B","OWN",27168,24,"8-11","0-15"
"9",0,6000,"A","RENT",74970,26,"0-8","0-15"
"10",0,22750,"A","MORTGAGE",32004,25,"0-8","0-15"
"11",0,2400,"A","MORTGAGE",57200,25,"0-8","0-15"
"12",0,7000,"A","OWN",42000,22,"Missing","0-15"
"13",0,6800,"A","MORTGAGE",130000,23,"8-11","0-15"
"14",0,8400,"C","RENT",50000,26,"13.5+","0-15"
"15",0,10000,"B","MORTGAGE",60000,23,"11-13.5","0-15"
"16",0,12000,"B","RENT",110000,33,"8-11","0-15"
"17",0,10000,"A","MORTGAGE",110000,21,"0-8","0-15"
"18",0,3350,"A","OWN",53000,24,"0-8","0-15"
"19",0,19000,"A","MORTGAGE",95000,23,"0-8","30-45"
"20",0,5000,"A","RENT",60000,23,"0-8","0-15"
"21",0,12000,"A","MORTGAGE",75000,23,"0-8","0-15"
"22",0,6000,"B","OWN",36000,23,"8-11","0-15"
"23",0,10000,"B","MORTGAGE",63000,23,"8-11","0-15"
"24",0,13000,"A","MORTGAGE",54000,25,"0-8","0-15"
"25",0,12000,"D","MORTGAGE",93000,25,"13.5+","0-15"
"26",0,1200,"C","RENT",22884,32,"11-13.5","0-15"
"27",1,15000,"E","RENT",62000,21,"13.5+","0-15"
"28",0,25000,"D","MORTGAGE",97000,33,"13.5+","0-15"
"29",0,7000,"B","MORTGAGE",60000,31,"Missing","0-15"
"30",0,6000,"A","MORTGAGE",53000,29,"0-8","0-15"
"31",0,10000,"D","OWN",58000,22,"13.5+","0-15"
"32",0,20000,"C","RENT",87000,22,"13.5+","0-15"
"33",0,15000,"D","OWN",57000,38,"13.5+","Missing"
"34",0,10000,"A","RENT",70000,23,"8-11","0-15"
"35",0,3300,"B","MORTGAGE",45000,22,"8-11","0-15"
"36",0,13000,"A","MORTGAGE",45000,29,"8-11","15-30"
"37",0,3650,"A","RENT",110000,31,"8-11","0-15"
"38",0,20000,"C","RENT",132000,27,"11-13.5","0-15"
"39",0,1800,"A","RENT",9600,30,"0-8","Missing"
"40",0,10800,"C","MORTGAGE",110000,42,"13.5+","0-15"
"41",0,5000,"C","OWN",68400,27,"11-13.5","0-15"
"42",0,6000,"C","MORTGAGE",62100,24,"11-13.5","15-30"
"43",0,9100,"B","RENT",57500,22,"11-13.5","0-15"
"44",0,5000,"C","MORTGAGE",120000,28,"11-13.5","0-15"
"45",0,18000,"B","RENT",69790,27,"8-11","0-15"
"46",0,2000,"D","RENT",48000,24,"13.5+","0-15"
"47",0,3600,"A","OWN",40000,28,"0-8","0-15"
"48",0,10000,"B","RENT",64125,28,"8-11","0-15"
"49",0,15000,"C","MORTGAGE",76500,22,"Missing","0-15"
"50",0,7800,"A","MORTGAGE",50000,22,"0-8","0-15"
"51",1,6600,"D","RENT",30000,29,"13.5+","0-15"
"52",0,11000,"A","OWN",45000,24,"0-8","0-15"
"53",0,5000,"B","RENT",75000,22,"8-11","0-15"
"54",0,4000,"C","RENT",50000,35,"11-13.5","0-15"
"55",0,7000,"B","OWN",96000,21,"11-13.5","0-15"
"56",0,10000,"B","MORTGAGE",66000,23,"8-11","0-15"
"57",0,7550,"C","RENT",40000,35,"13.5+","0-15"
"58",0,7500,"B","MORTGAGE",85000,29,"11-13.5","0-15"
